fips,year,V1
06017,2004,1
06019,2002,2
06019,2004,3
06019,2005,5
06019,2006,6
06019,2007,5
06019,2010,7
06019,2011,6
06019,2012,6
06019,2013,8
06019,2014,10
06019,2016,8
06027,2004,4
06027,2005,2
06027,2006,2
06027,2007,5
06027,2008,3
06027,2009,3
06027,2010,4
06027,2011,3
06027,2012,3
06027,2013,4
06027,2015,2
06027,2016,2
06029,2000,11
06029,2001,14
06029,2002,18
06029,2003,16
06029,2004,20
06029,2005,22
06029,2006,19
06029,2007,28
06029,2008,39
06029,2009,39
06029,2010,37
06029,2011,37
06029,2012,34
06029,2013,32
06029,2014,24
06029,2015,26
06029,2016,27
06031,2012,3
06035,2008,1
06037,2002,3
06037,2012,4
06037,2013,6
06039,2000,3
06039,2001,2
06039,2002,5
06039,2003,6
06039,2004,7
06039,2005,11
06039,2006,12
06039,2007,16
06039,2008,17
06039,2009,22
06039,2010,22
06039,2011,21
06039,2012,16
06039,2013,13
06039,2014,20
06039,2015,18
06039,2016,15
06051,2003,2
06051,2004,2
06051,2005,1
06051,2007,1
06051,2009,1
06051,2010,1
06051,2013,2
06051,2014,2
06051,2016,2
06053,2011,16
06059,2002,1
06059,2003,1
06059,2006,1
06059,2007,1
06059,2008,1
06059,2009,2
06059,2010,2
06059,2011,2
06063,2013,3
06065,2003,3
06065,2004,1
06065,2006,4
06065,2007,3
06065,2008,5
06065,2009,8
06065,2011,3
06065,2012,5
06065,2013,2
06065,2014,2
06065,2015,3
06065,2016,3
06071,2001,5
06071,2003,4
06071,2004,5
06071,2005,8
06071,2006,11
06071,2007,8
06071,2008,7
06071,2009,8
06071,2010,4
06071,2011,6
06071,2012,6
06071,2013,8
06071,2014,8
06071,2015,9
06071,2016,12
06073,2003,1
06073,2004,1
06073,2005,5
06073,2006,3
06073,2007,2
06073,2008,2
06073,2009,4
06073,2010,4
06073,2011,7
06073,2012,8
06073,2013,3
06073,2014,6
06073,2015,4
06073,2016,10
06077,2005,3
06077,2006,4
06077,2007,8
06077,2009,5
06099,2003,3
06099,2005,3
06099,2011,12
06099,2014,10
06099,2015,10
06099,2016,10
06107,2005,13
06107,2007,10
06107,2008,13
06107,2011,16
06107,2012,15
06107,2013,13
06107,2014,15
06107,2015,14
06107,2016,11
06111,2000,2
06111,2010,1
08005,2014,1
08009,2015,1
08013,2000,1
08013,2002,1
08017,2001,1
08017,2004,1
08017,2006,1
08017,2007,1
08017,2008,1
08017,2009,1
08017,2010,1
08027,1999,1
08027,2002,1
08027,2004,1
08027,2005,1
08027,2006,1
08027,2007,1
08035,2001,1
08035,2004,1
08041,2002,2
08041,2004,1
08041,2005,2
08041,2006,1
08041,2007,1
08041,2008,1
08041,2009,1
08041,2010,1
08041,2011,1
08041,2012,1
08045,1999,1
08045,2012,2
08045,2015,2
08045,2016,3
08049,2001,1
08059,2000,2
08059,2001,5
08059,2002,2
08059,2003,2
08059,2004,1
08059,2005,2
08059,2006,2
08059,2007,2
08059,2008,1
08059,2009,2
08059,2010,2
08059,2011,2
08061,1999,1
08061,2002,2
08061,2005,2
08061,2007,1
08061,2008,1
08061,2009,1
08061,2011,1
08061,2013,1
08061,2015,1
08061,2016,1
08069,2002,1
08069,2005,6
08069,2006,2
08069,2011,3
08069,2012,1
08069,2014,2
08069,2015,1
08075,2000,1
08075,2001,1
08075,2003,1
08075,2004,2
08075,2006,1
08075,2007,2
08075,2008,2
08075,2009,2
08075,2010,2
08075,2011,4
08075,2012,2
08075,2014,2
08075,2015,1
08075,2016,2
08087,1999,1
08087,2001,3
08087,2002,4
08087,2004,4
08087,2005,2
08087,2006,3
08087,2007,3
08087,2008,2
08087,2009,1
08087,2010,2
08087,2011,4
08087,2013,1
08089,2005,1
08089,2008,1
08089,2012,2
08089,2013,2
08089,2015,1
08097,2001,1
08097,2007,1
09001,2004,4
09001,2005,4
09001,2006,6
09001,2007,7
09001,2008,4
09001,2009,2
09001,2010,2
09001,2011,3
09001,2012,2
09001,2013,2
09001,2014,1
09005,2010,1
09005,2015,1
09005,2016,1
09007,2006,3
09007,2007,4
09007,2008,2
09007,2009,4
09007,2010,6
09007,2013,1
09007,2014,1
09007,2015,1
09007,2016,1
09009,2005,1
09009,2006,3
09009,2007,1
09009,2008,1
09011,2001,2
09011,2008,2
09011,2014,2
09011,2015,1
09013,2006,1
09013,2007,1
09013,2008,1
12057,2012,5
12057,2013,5
12057,2014,2
12057,2015,2
12057,2016,2
12071,2008,2
19025,2013,1
19025,2015,1
19071,2009,1
19071,2012,1
19103,2007,2
19103,2010,3
19107,2002,1
19119,2001,1
19119,2002,1
19119,2003,1
19119,2004,2
19161,2003,1
19193,2010,1
19197,2010,1
20027,2003,1
20027,2005,1
20027,2006,1
20027,2007,1
20027,2008,1
20027,2009,1
20039,2007,1
20039,2008,2
20039,2009,1
20039,2010,2
20039,2011,2
20055,2002,1
20055,2005,1
20055,2007,1
20055,2009,2
20055,2010,1
20055,2011,1
20055,2012,1
20055,2013,1
20055,2015,1
20055,2016,1
20057,2006,1
20065,2000,1
20065,2006,1
20093,2006,1
20093,2007,1
