fips,agriculture,construction,manufacturing,wholesale_trade,retail_trade,transport_warehouse_utilities,information,finance_insurance_realestate,prof_scientific_waste,edu_health,arts_recreation,public_admin,other,year
1001,31957,30347,44452,38203,20346,50727,40682,33184,42211,30306,10272,46858,26279,2010
1003,27342,30068,41917,43444,20814,42932,39524,31985,49599,34506,17414,38629,21440,2010
1005,14464,20305,27630,18777,19142,32723,32216,27237,53750,22398,10724,30871,16090,2010
1007,46064,30288,36231,43403,18077,35882,37713,30175,50938,25474,5114,33095,30956,2010
1009,25610,33055,32084,33198,21461,45297,44128,34440,39150,31931,10050,34838,25326,2010
1011,23684,27596,22663,50353,17434,34569,14735,24779,26250,35269,43012,34782,4278,2010
1013,38170,23250,24792,43194,18879,33125,42841,36067,40064,25313,5294,28909,16979,2010
1015,22794,26503,34044,32425,20032,40393,26852,28589,44556,30625,7434,47836,18696,2010
1017,21458,24600,29944,32667,20591,31504,12188,28663,28496,26671,67868,31898,16516,2010
1019,41500,28023,29284,40833,20511,47444,42996,36167,25893,35480,"2,500-",40336,14091,2010
1021,28077,31841,35544,30064,20571,46191,57386,32778,36842,30983,9438,41232,22207,2010
1023,45014,31155,59063,9625,16063,27225,26630,30588,20750,22121,NA,24063,29821,2010
1025,32618,33565,50471,45966,20602,42054,52308,30035,40885,28656,41964,29318,21964,2010
1027,22813,32386,28287,19107,16509,37292,24808,31899,41250,31809,13750,46463,21750,2010
1029,37612,30972,33333,35179,16743,33189,72614,30625,32216,27760,"2,500-",42692,36875,2010
1031,21111,29111,24725,30962,19993,48259,24962,23125,49688,33854,25737,50905,20781,2010
1033,27460,35915,36090,31796,18521,40833,21537,26683,30692,30453,13977,35362,30480,2010
1035,42461,28636,32569,12159,10353,26441,11458,17461,NA,26142,NA,23387,30163,2010
1037,50324,34516,27456,NA,20500,33631,NA,24688,42143,23696,22308,42297,27328,2010
1039,25714,23735,28570,28393,17622,35901,21618,26061,31629,25046,13561,23056,19788,2010
1041,22202,24429,25854,37667,19981,40351,16082,24179,30556,25158,NA,27500,27969,2010
1043,21699,23653,28981,36474,20327,42273,24250,30478,52125,29858,6523,34310,20162,2010
1045,19417,24643,29301,36352,17299,48843,40917,30536,32679,27716,11307,45198,16250,2010
1047,17935,25587,28223,26600,18494,37746,24732,31923,26574,28613,8393,35150,17133,2010
1049,21982,22052,25721,30536,17168,48304,27500,27064,35472,30625,5344,28155,18571,2010
1051,24688,31434,35234,34322,21737,44387,41429,37282,55647,31594,19099,42728,19485,2010
1053,34438,24766,31597,34071,18708,36250,19583,28309,72568,24666,16853,31148,25854,2010
1055,17217,26421,34179,35197,17054,40750,33438,31951,40222,30164,16554,43438,19700,2010
1057,31838,34323,29363,19978,14630,31544,"2,500-",35853,23083,26603,41625,35260,20444,2010
1059,24556,16821,23723,27703,17262,59000,17026,28411,26402,27011,9904,32248,20647,2010
1061,13500,21860,25368,28929,17442,43310,16442,17143,39219,21806,23073,39053,17372,2010
1063,215060,21008,26227,NA,28077,23718,NA,21771,58421,29700,18707,24654,20734,2010
1065,19172,28625,33584,22692,19545,38606,4135,21583,21250,21088,8670,21731,15843,2010
1067,19022,27429,31616,35545,23061,52366,43125,20168,34482,28402,NA,26528,17283,2010
1069,27292,29579,32112,34345,19913,47687,34848,31953,36196,29748,17250,39618,21161,2010
1071,21196,30815,27192,25738,20600,42576,19940,30346,35690,26651,12578,43289,18193,2010
1073,26896,30288,38438,39363,21567,42697,45132,39813,47635,33853,18446,44993,21331,2010
1075,25167,23478,32065,9831,20889,38963,17250,24464,32750,30145,NA,41856,15602,2010
1077,26600,26583,37880,36300,17938,56518,23438,27927,36066,30858,7352,40406,17526,2010
1079,35735,33833,40827,33925,16296,33791,40313,33304,32578,25387,29167,44981,18341,2010
